accx,accy,accz,gyrx,gyry,gyrz,anglex,angley,anglez,magx,magy,magz
-0.1030000000,0.0240000000,-0.9990000000,0.0017453293,0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,215,232
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-419,215,232
-0.1030000000,0.0240000000,-0.9980000000,0.0017453293,0.0000000000,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-426,212,233
-0.1030000000,0.0240000000,-0.9980000000,0.0000000000,-0.0034906585,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-421,212,233
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,-0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,212,234
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,211,234
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-417,208,235
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,-0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-422,213,234
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,208,239
-0.1030000000,0.0230000000,-1.0000000000,0.0017453293,0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,208,239
-0.1040000000,0.0230000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-418,209,236
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,213,237
-0.1050000000,0.0240000000,-0.9990000000,0.0017453293,-0.0034906585,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-418,215,234
-0.1040000000,0.0230000000,-0.9990000000,0.0000000000,0.0000000000,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-418,215,234
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,-0.0034906585,0.1031489588,3.1166344453,2.3160519174,-419,212,240
-0.1040000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,208,237
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,211,237
-0.1030000000,0.0240000000,-1.0010000000,0.0017453293,0.0000000000,0.0017453293,0.1031489588,3.1168089782,2.3160519174,-421,211,237
-0.1030000000,0.0240000000,-1.0010000000,0.0000000000,-0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-418,208,237
-0.1030000000,0.0240000000,-1.0010000000,-0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-423,209,235
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0034906585,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,211,235
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0017453293,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-421,211,235
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0034906585,0.0017453293,0.1031489588,3.1168089782,2.3160519174,-421,210,234
